                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95964,                 2.7564,                 1.2262,                0.60542,                0.50993,                 0.4751,                0.33156,                0.92528,                 1.8407,                 1.2648,               0.070201,               0.003311,               0.003311
                      1,                 1.0341,                  1.877,                 1.2438,                0.29103,                0.43002,                0.37477,                0.25069,                 1.0732,                 2.3443,                 1.3664,               0.040136,              0.0065785,              0.0065785
                      2,                 1.0976,                 1.8114,                 1.3166,                0.47106,                0.39044,                0.26722,                0.13554,                 1.4998,                 2.4823,                 1.8932,               0.010004,              0.0097801,              0.0097801
                      3,                 1.2127,                 1.8978,                 1.3954,                0.31916,                0.30697,                0.13109,                0.06055,                 1.7492,                 4.0464,                 2.3768,               0.009703,               0.009703,               0.009703
                      4,                 1.2098,                 1.8117,                 1.3892,                0.55683,                0.40952,                0.37136,                0.21479,                 1.2524,                 2.0433,                 1.5573,               0.009703,               0.009703,               0.009703
                      5,                 1.1977,                 1.7431,                 1.3925,                0.55834,                0.40096,                0.38981,                0.23467,                 1.2611,                  1.749,                 1.5671,               0.009604,               0.009604,               0.009604
                      6,                  1.176,                 1.6192,                 1.3716,                0.60551,                0.46193,                0.41455,                0.23721,                 1.2768,                 1.7467,                 1.5576,               0.009505,               0.009505,               0.009505
                      7,                 1.1673,                 1.5757,                  1.362,                 0.6094,                0.51227,                0.44273,                0.26448,                 1.2295,                 1.7391,                 1.5579,               0.009406,               0.009406,               0.009406
                      8,                 1.1359,                   1.49,                 1.3507,                0.58357,                0.51279,                0.51373,                0.31538,                 1.1924,                 1.4033,                 1.4836,               0.009307,               0.009307,               0.009307
                      9,                 1.1073,                 1.4515,                 1.3205,                0.46419,                 0.5564,                  0.514,                0.31812,                 1.1361,                 1.3948,                 1.4371,               0.009208,               0.009208,               0.009208
                     10,                 1.1084,                 1.3815,                 1.3254,                0.63198,                0.51853,                0.45825,                0.29513,                 1.1747,                    1.6,                 1.4569,               0.009109,               0.009109,               0.009109
                     11,                 1.1078,                 1.3643,                 1.3254,                0.46829,                0.52333,                0.49996,                 0.3201,                 1.1353,                 1.3234,                    1.4,                0.00901,                0.00901,                0.00901
